loan_id,borrower_name,sector,region,exposure_xaf,dscr,ltv,dti,par90_flag,months_overdue,covenant_dscr_breach,covenant_ltv_breach,disbursement_date,maturity_date,loan_officer
AFB-10000,Enterprise AFB-10000,Manufacturing,Yaoundé,37207000.0,1.02,0.79,0.45,False,0,True,False,2023-01-17,2024-03-18,Officer-02
AFB-10001,Enterprise AFB-10001,Agriculture,Maroua,30300000.0,2.06,0.6,0.4,False,0,False,False,2023-05-23,2024-06-04,Officer-03
AFB-10002,Enterprise AFB-10002,Manufacturing,Bafoussam,14255000.0,1.37,0.58,0.35,False,0,False,False,2023-06-26,2027-11-13,Officer-05
AFB-10003,Enterprise AFB-10003,Transport,Garoua,27043000.0,1.88,0.85,0.49,False,0,False,True,2023-07-05,2027-09-29,Officer-04
AFB-10004,Enterprise AFB-10004,Transport,Yaoundé,33233000.0,2.23,0.87,0.36,False,0,False,True,2023-08-21,2028-03-13,Officer-06
AFB-10005,Enterprise AFB-10005,Agriculture,Bafoussam,10871000.0,2.0,0.72,0.24,False,0,False,False,2023-05-06,2025-04-04,Officer-08
AFB-10006,Enterprise AFB-10006,Retail Trade,Maroua,11371000.0,1.31,0.84,0.59,False,0,False,True,2023-07-25,2026-01-23,Officer-02
AFB-10007,Enterprise AFB-10007,Agriculture,Maroua,43880000.0,1.7,0.9,0.4,False,0,False,True,2023-05-16,2025-02-24,Officer-04
AFB-10008,Enterprise AFB-10008,Transport,Maroua,13506000.0,1.71,0.48,0.7,False,0,False,False,2023-09-18,2027-06-24,Officer-02
AFB-10009,Enterprise AFB-10009,Transport,Yaoundé,8066000.0,1.94,0.58,0.48,False,0,False,False,2023-08-28,2027-08-15,Officer-05
AFB-10010,Enterprise AFB-10010,Construction,Yaoundé,34174000.0,0.95,0.8,0.57,True,3,True,False,2023-02-27,2025-10-20,Officer-07
AFB-10011,Enterprise AFB-10011,Agriculture,Yaoundé,47714000.0,1.83,0.46,0.65,False,0,False,False,2023-11-17,2026-07-20,Officer-04
AFB-10012,Enterprise AFB-10012,Agriculture,Douala,27199000.0,1.25,0.54,0.16,False,0,False,False,2023-07-05,2026-03-25,Officer-04
AFB-10013,Enterprise AFB-10013,Agriculture,Maroua,47374000.0,0.79,0.39,0.57,True,2,True,False,2023-03-07,2027-11-17,Officer-08
AFB-10014,Enterprise AFB-10014,Construction,Douala,13620000.0,1.49,0.67,0.55,False,0,False,False,2023-04-13,2028-04-11,Officer-05
AFB-10015,Enterprise AFB-10015,Retail Trade,Bafoussam,22186000.0,1.05,0.55,0.47,True,2,True,False,2023-01-04,2024-05-28,Officer-01
AFB-10016,Enterprise AFB-10016,Agriculture,Yaoundé,43052000.0,0.69,0.75,0.27,True,2,True,False,2023-10-20,2028-01-12,Officer-08
AFB-10017,Enterprise AFB-10017,Agriculture,Garoua,40471000.0,1.1,0.6,0.41,False,0,True,False,2023-12-11,2028-08-09,Officer-02
AFB-10018,Enterprise AFB-10018,Agriculture,Bafoussam,40129000.0,0.67,0.67,0.23,True,2,True,False,2023-05-23,2026-12-25,Officer-04
AFB-10019,Enterprise AFB-10019,Health Services,Yaoundé,22435000.0,1.31,0.95,0.61,False,0,False,True,2023-02-17,2025-06-15,Officer-03
AFB-10020,Enterprise AFB-10020,Retail Trade,Garoua,11080000.0,1.09,0.94,0.3,False,0,True,True,2023-08-21,2026-03-27,Officer-07
